,Title,줄거리,장르,Image,image_name
0,연극 〈운빨로맨스〉- 대학로,"점에 살고 점에 죽는 점보늬의 호랑이띠 남자와 하룻밤 보내기 프로젝트 목숨이 걸린 중요한 미션 과연 보늬의 운명은..? '일주일 안에 호랑이며 남자와 하룻밤을 보내지 않으면.... 세상의 모든 불운은 본인으로부터 시작된다고 믿는 운명론자 점보늬 점보늬가 사는 건물의 새건물주이자 86년생 숫총각 호랑이띠 '운명은 스스로 개척하는 것!
제발로 걸어들어온 완벽한 부적 호랑이띠 남자
제대리님. 첫 눈에 반한다는 말.전 믿습니다","로맨스, 코믹, 공감/힐링",연극 〈운빨로맨스〉- 대학로.png,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/연극 〈운빨로맨스〉- 대학로.png
1,(리얼타임 코믹연극) 택시안에서 - 서울,"쾌활하고 유쾌한 택시 운전사 민수 그리고 하영과 소희 두 남녀의 운명적인 만남!
남들 다 하는 연애는 시작도 못 해본 연애고자 하영 남들 다 하는 연애가 왠지 뜻대로 되지 않는 소희 영화보다 더 영화같은 운! 명! 적! 인! 만남 그러나 오랜 연애 끝에 결국 두 사람은 이별을 하게 되고, 이별의 상처로 소희는 한국을 떠날 결심을 한다. 뒤늦게 후회가 밀려 온 하영은 소희를 만나기 위해 공항으로 가는 택시를 급히 타게 되는데
<공항까지 도착 시간은 75분!> 의미심장한 택시 기사 민수와 자신에게 주어진 엄청난 반전 앞에 당황할 수밖에 없는 하영의 운명은?","코믹, 로맨스, 공감/힐링",(리얼타임 코믹연극) 택시안에서 - 서울.png,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/(리얼타임 코믹연극) 택시안에서 - 서울.png
2,(코믹연극) 달동네-부산,"정음의 아버지 경민은 행정착오로 인해 월남전 참전 중 전사자 처리가 되고,......
잘못된 전사자통지를 받은 아내 혜자는 사춘기소녀 정음과 철부지 막내 정용을 이끌고
부산의 달동네에 자리잡고 살아간다. 하루도 조용할 날이 없는 정음이네 가족과 달동네 사람들
그러나 심한 화상으로 인해 얼굴을 알아보기가 어려웠을 뿐, 살아있었던 아버지 경민은 귀향을 하였으나
가족들은 이미 이사를 간 뒤, 행방을 알 길이 없는 경민은 엿장사를 하면서 전국을 다니며 찾던 중 부산 자갈치 시장에서 생선장사를 하는 아내를 보게된다.
심한 화상에 자신을 알아보지 못하는 가족의 주위만 맴돌고 있는 경민 갈치 상회 죽은 남편을 잊지 못하고 살아가는 혜자... 어려운 현실에 죽은 아버지 원망만 하는 사춘기 소녀 정음... 천진난만한 철부지 소년 정용... 친구의 죽음에 대한 자책감과 의리로 정음네 가족을 따라 온 병구.. 그리고 서로를 의지하며 살아가는 달동네 사람들
한편, 갑작스런 달동네 재개발이 결정되고
가족과 달동네 사람들은 강제로 쫓겨날 위기에 처하게 되는데.....","코믹, 감동, 드라마",(코믹연극) 달동네-부산.gif,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/(코믹연극) 달동네-부산.gif
3,10년 연속 1위 연극〈옥탑방고양이〉- 틴틴홀,"이중계약으로 엮인 사랑스러운 두 청춘의, 동화 같은 사랑이 시작된다! 상큼발랄 좌충우돌 옥탑방 생존기!”
서울 종로구 창신동 달콤한 연애 판타지가 펼쳐질 옥탑방
꿈을 이루기 위해 서울로 갓 상경한 작가 지망생 정은!
꿈을 이루기 위해 독립을 선언한 건축학도 경민!
동시에 이사를 오다?! 계약 먼저 한 남자와 이사 먼저 한 여자가 벌이는 어쩌다 한집! ""버라이어티 현실공감 로맨스! 보증금과 월세로 엮인 옥탑방메이트! 과연 소울메이트가 될 수 있을까?","로맨스, 공감/힐링, 판타지",10년 연속 1위 연극〈옥탑방고양이〉- 틴틴홀.png,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/10년 연속 1위 연극〈옥탑방고양이〉- 틴틴홀.png
4,2023 연극 〈친정엄마와 2박 3일〉 - 고양,"가족'에게는 그 어떤 힘든 시기도 헤쳐나갈 '기적' 같은 '힘'이 있습니다!
엄마의 전화 한 통 살갑게 받아주지 못하던 바쁜 서울 깍쟁이 딸, 미영. 어느 날 연락도 없이 시골 친정엄마 집을 찾는다. 미영은 전기장판에 의지해 겨울을 나는 궁상맞은 엄마 모습에 속이 터지고 엄마는 갑자기 내려온 딸에게 무슨 일이 있는 건 아닌지 속이 타기만 한다. 왜 진작 내려와보지 못했는지 가슴이 아픈 미영과 애미가 못나 고생하는 건 아닌지 가슴이 미어지는 엄마는 그렇게 지난 후회와 화해로 2박3일을 함께 보낸다. 미영이 서울로 올라가는 마지막 날, 둘은 마지막 인사를 나누는데...","감동, 드라마",2023 연극 〈친정엄마와 2박 3일〉 - 고양.png,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/2023 연극 〈친정엄마와 2박 3일〉 - 고양.png
5,2시간탈출 졸탄쇼,"넘버벌 개그 퍼포먼스 삑삑이
관객 참여형 코너!
예상치 못한 상황에 웃음을 참을 수 없을 것이다.
레트로그
20년 전에 유행했던 짧은 개그!
꼭 한번 해보고 싶었습니다.
전국 최초! 세계 최초! 관객들에게
개인기를 선물해 주는 유일무일한 코너!
강제 프로포즈를 당해야 한다. 관객이 주인공 되는 시간!
""다금바리"" 차트 역주행 곡! 당신 또한 함께 춤을 추며 노래를 부를 것이다.
이재형의 마술쇼
tvn 코미디빅리그에서 선보인
<졸탄극장>코너를 바로 눈 앞에서.....
예언마술
이 모든 연극은 처음부터 정해져 있었다.
깜짝 놀랄 마술같은 일이 펼쳐진다.
엔딩콘서트
스탠딩 라이브로 즐길 수 있는 콘서트! 다같이 소리질러~","코믹, 관객참여형",2시간탈출 졸탄쇼.png,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/2시간탈출 졸탄쇼.png
6,4D공포연극 〈스위치〉,"불이 꺼지면 진실이 그 모습을 드러낸다.
손대는 작품마다 대박행진을 이끌어낸 연극계 흥행신화의 주인공 고연출. 극장은 신작 <로미오와 줄리엣> 연습에 한창이다. 극의 주인공으로 출연하게 된 지혜와 달수는 성공에 눈이 먼 고연출의 강압적인 훈련방식에 점점 지쳐가고, 급기야 극장에서 환청을 듣거나 귀신을 보는 등 기이한 현상들을 경험하게된다.
한편, 과거 극장에서 일어난 불미스러운 사건을 조사하던 유기자는 고연출의 연속된 공연 흥행과 과거의 사건이 밀접한 관련이 있음을 직감하고 그의 수상한 행적을 쫓기 시작한다.","공포, 스릴러",4D공포연극 〈스위치〉.png,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/4D공포연극 〈스위치〉.png
7,★평점9.5★ 코미디의맛/쇼미더퍼니,"코미디의명가 윤형빈소극장에서 펼쳐지는 대표개그SHOW
코빅, 개콘을 바로 눈앞에서 보는 느낌~! 국내 최고 개그맨들이 엄선한 포복절도, 웃음유발 개그쇼~
상상치 못한 순간, 상황상황 마다 터지는 애드립은 타의 추종을 불허한다
관객이 함께 참여해 공감대 형성! 두배 더 즐거운 공연~!!!!","코믹, 관객참여형",★평점9.5★ 코미디의맛 쇼미더퍼니.gif,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/★평점9.5★ 코미디의맛/쇼미더퍼니.gif
8,공포연극 조각,"비 내리는 어느 여름날, 한적한 시골마을에 은행 강도 사건이 일어난다. 용의자 희태와 순철은 경찰을 피해 가까스로 도주에 성공하고 사람들의 발길이 끊긴 허름한 폐가에 잠시 머물기로 하는데... 그 곳엔 이미 은행 여직원인 영희가 기다리고 있다. 우연인지 필연인지 모르는 상황에 영희는 알 수 없는 말만 늘어놓는다.
낯설지만 낯설지 않은 공간 그리고 그 곳에서 일어나는 알 수 없는 일들 수수께끼처럼 얽혀있던 기억의 조각들이
하나씩 맞춰지기 시작하는데...","공포, 스릴러, 미스터리",공포연극 조각.png,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/공포연극 조각.png
9,공포연극 ［자취］,"생활 밀착형 공포 자취방을 배경으로 한 더욱 현실감 있는 스토리!
부모님의 반대에도 불구하고 생애 첫 독립에 성공한 미지. 어느 날 미지의 자취방에서 들려오는 의문의 소리와
악몽에 시달리는 미지와 태훈 그리고 알 수 없는 아랫층 남자의 물음... 과연 이 방에는 어떤 비밀이 숨겨져 있을까...","공포, 스릴러, 미스터리",공포연극 ［자취］.png,/content/drive/MyDrive/캡스톤/데이터/연극/연극_포스터/공포연극 ［자취］.png
