,Unnamed: 0,Title,cast_act
0,52,"2023 〈스웨그에이지 : 외쳐, 조선〉 - 인천",해당없음
1,54,2023 창작뮤지컬어워드 NEXT,해당없음
2,56,2023 최현우 Answer - 성남,최현우
3,59,2023~24 최현우 Answer,최현우
4,60,2023송승환의 오리지널 난타(대전),해당없음
5,61,2024 최현우 Answer - 청주,최현우
6,53,2023 매직쇼〈최현우의 미스틱커스〉 - 평택,해당없음
7,62,국립창극단 〈패왕별희〉,해당없음
8,41,난타(NANTA) - 명동공연,해당없음
9,64,넌버벌 코미디 〈옹알스〉,"조수원, 조준우, 채경선, 최기섭, 하박, 이경섭, 최진영"
10,65,더 맨 얼라이브 〈초이스〉,"이유청, 강청광, 김준석, 김성길, 박휘범, 강태욱"
11,66,동구문화체육센터 뮤지컬 〈앤 ANNE〉 - 인천,천우주
12,67,라면에 파송송,"김재선, 김슬기, 김태경"
13,68,러스트(RUST) - 전주,해당없음
14,69,런던레코드,"이채원, 해리 벤자민"
15,22,뮤지컬 〈22년 2개월〉,"유승현, 양지원, 이재환, 최수진, 강혜인, 홍나현, 유성재, 안창용, 정호준, 이현재, 박세훈, 성재, 정종환, 박상선, 신요셉"
16,10,뮤지컬 〈곤 투모로우〉,"강필석, 최재웅, 고훈정, 조형균, 김재범, 신성민, 백형훈, 윤소호, 고영빈, 박영수, 김준수, 김태한, 임별, 김민철, 차형도"
17,26,뮤지컬 더데빌 : 에덴 (Musical THE DEVIL : EDEN),"김찬호, 조형균, 김준영, 정동화, 박규원, 백인태, 여은, 이지연, 이재림, 이기현, 반정모, 김우성, 이효정, 김명지"
18,24,뮤지컬 〈구텐버그〉,"정민, 최호승, 정욱진, 기세중, 선한국, 정휘"
19,38,뮤지컬 〈그날들〉 10주년 기념 공연 - 대전,"유준상, 오만석, 엄기준, 이건명, 오종혁, 김건우, 김지현, 효은, 고창석, 서현철, 이정열, 이진희, 김보정, 최지호, 김산호, 손우민, 박정표, 곽나윤, 이정화, 김석영"
20,46,뮤지컬 〈김종욱 찾기〉,"김시울, 이재형, 정현준, 홍차민, 김건영, 김소정, 김재희, 배다솜, 서지우, 심설빈, 문준혁, 박형석, 안지후, 윤병일, 이광진"
21,14,뮤지컬 〈레미제라블〉 - 부산,"민우혁, 최재림, 김우형, 카이, 조정은, 린아, 임기홍, 육현욱, 박준면, 김영주, 김성식, 김진욱, 김수하, 루미나, 윤은오, 김경록, 이상아, 류인아, 이형준, 석현준"
22,0,뮤지컬 〈레베카〉 10주년 기념공연,"류정한, 민영기, 에녹, 테이, 신영숙, 옥주현, 리사, 장은아, 김보경, 이지혜, 이지수, 웬디, 윤석원, 임정모, 윤사봉, 김지선, 이은율, 홍기주, 제병진, 김순택"
23,28,뮤지컬 〈렛미플라이〉,"김태한, 김도빈, 이형훈, 방진의, 윤공주, 최수진, 안지환, 박보검, 신재범, 나하나, 홍지희, 임예진"
24,27,뮤지컬 〈마리 퀴리〉,"김소현, 이정화, 유리아, 강혜인, 효은, 최지혜, 박영수, 김지철, 임별, 김찬호, 양승리, 안재영, 민정아, 옥경민, 이찬렬, 홍유정, 유낙원, 송상훈, 조배근, 윤수아"
25,47,뮤지컬 〈맘마미아!〉 - 김해,"최정원, 신영숙, 김환희, 최태이, 김영주, 홍지민, 박준면, 김경선, 장현성, 김정민, 이현우, 민영기, 김진수, 송일국"
26,5,뮤지컬 〈렌트〉,"백형훈, 장지후, 정원영, 배두훈, 김환희, 이지연, 전나영, 김수연, 정다희, 배수정, 김호영, 조권, 윤형렬, 임정모, 구준모"
27,4,뮤지컬 〈멤피스〉,"박강현, 고은성, 이창섭, 정선아, 유리아, 손승연, 최민철, 심재현, 최정원, 류수화, 이종문, 유효진, 조성린, 이준용"
28,31,뮤지컬 〈문스토리〉,"정상윤, 성연, 김진욱, 김준호, 소정화, 박새힘, 주다온, 장보람, 강찬, 김리현, 김지웅, 전민지, 조영화, 표바하, 이채원"
29,32,뮤지컬 〈빨래〉,해당없음
30,12,쇼 뮤지컬 〈시스터즈 (SheStars!)〉,"유연, 신의정, 선민, 황성현, 김려원, 하유진, 정유지, 이예은, 이서영, 정연, 홍서영"
31,19,뮤지컬 〈비더슈탄트〉,"송유택, 안지환, 황순종, 정백선, 김바다, 김지온, 동현, 이진우, 김이담, 손지환, 김도현, 김방언, 이태이, 김민강, 박선영, 곽다인, 정선기, 한정훈, 이한솔, 류동휘"
