,0,1
0,임태경,"할란카운티(2023)
지저스 크라이스트 수퍼스타(2022)
나폴레옹 헌정 콘서트(2022)"
1,김다현,"루쓰(2023)
더 그레이티스트 뮤지컬 콘서트 - 용인(2022)
미세스 다웃파이어(2022)"
2,차지연,"컴프롬어웨이(2023)
차지연 콘서트(2023)
아마데우스(2023)"
3,김지현,"그날들 - 대구(2023)
그날들(2023)
스위니토드(2022)"
4,바다,"안양 시 승격 50주년 기념 신년음악회 - 안양(2023)
제주신화월드 카운트다운 2023 - 제주(2022)
드라뮤지션 바다 콘서트 - 하남(2022)"
5,규현,"규현 & HYNN 콘서트(2023)
벤허(2023)
2023 서울파크뮤직페스티벌(2023)"
6,박호산,"기형도 플레이(2023)
오셀로(2023)
무제의 시대(2022)"
7,주지훈,"주지훈 팬미팅(2019)
생명의 항해(2010)
돈 주앙(2009)"
8,강태을,"몬테크리스토(2023)
엘리자벳(2022)
엑스칼리버(2022)"
9,정민,"스모크(2023)
사의찬미 콘서트(2023)
구텐버그(2023)"
10,장승조,"킹아더(2019)
더 데빌(2017)
구텐버그(2014)"
11,이자람,"노인과 바다 - 평택(2023)
순신(2023)
노인과 바다 - 경기 광주(2023)"
12,김도현,"배니싱(2018)
리차드3세(2018)
금강 1894 - 성남(2017)"
13,송원근,"오페라의 유령(2023)
레드북(2023)
이프덴(2022)"
14,소냐,"포르테 디 콰트로 ＆ 소냐 콘서트 - 구미(2023)
뮤지컬 갈라 콘서트 - 함양(2022)
라비앙로즈 - 화성(2022)"
15,문혜원,"타오르는 어둠 속에서(2023)
제15회 대구국제뮤지컬페스티벌 - 스페셜5(2021)
인현왕후 - 김천(2019)"
16,이율,"트레이스 유(2023)
모래시계(2022)
트레이스 유(2021)"
17,박해미,"블루 블라인드 - 의정부(2023)
박해미 콘서트 - 구리(2023)
어게인 - 여고동창생(2023)"
18,이태원,"블루 블라인드 - 의정부(2023)
헤다가블러(2023)
엘리자벳(2018)"
19,김선경,"아몬드(2022)
포미니츠(2021)
메노포즈(2018)"
20,린아,"레미제라블(2023)
스위니토드(2022)
몬테크리스토(2020)"
21,인순이,"우드스탁 뮤직 & 아트 페어 - 포천(2023)
인순이 콘서트 - 전주(2022)
2022 춘천 팸팸 페스타(2022)"
22,이현수,"제11회 대구국제뮤지컬페스티벌 - 아름다운 슬픈 날(2017)
화려한 싱글들(2012)
순이야 사랑해(2012)"
23,김도형,"영웅(2022)
명성황후(2021)
스위니토드(2019)"
24,백주연,"할란카운티(2023)
삼총사(2022)
잭 더 리퍼(2021)"
25,이희정,"벤허(2023)
루쓰(2023)
프랑켄슈타인(2021)"
26,임강성,"다시 동물원(2023)
은밀하게 위대하게
오선지 걸어가는 작곡가(2022)"
27,오정해,"동백꽃 피는 날(2022)
장사익 오정해 콘서트 - 고양(2022)
오정해의 농담 - 정읍(2019)"
28,키,"디 아지트 - 키 랜드(2019)
키 팬미팅(2018)
지구를 지켜라(2017)"
29,김아선,"오페라의 유령(2023)
드라큘라(2022)
삼총사(2022)"
30,김수아,"비듬(2023)
패션의 신 - 광명(2023)
패션의 신 - 과천(2023)"
31,혜은이,"김승미 콘서트(2022)
혜은이 콘서트(2020)
혜은이 디너쇼(2019)"
32,송상은,"블랙메리포핀스(2023)
눈을 뜻하는 수백 가지 단어들(2022)
언성(2017)"
33,정준하,"시티오브엔젤(2019)
청춘페스티벌 2016(2016)
형제는 용감했다(2015)"
