,뮤지컬 이름,공연장,기간
0,뮤지컬 〈레베카〉 10주년 기념공연,블루스퀘어 신한카드홀,"2023.08.19~
2023.11.19"
1,태양의서커스 〈루치아〉,잠실종합운동장 내 빅탑,"2023.10.25~
2023.12.17"
2,뮤지컬 〈오페라의 유령〉 - 서울,샤롯데씨어터,"2023.07.21~
2023.11.19"
3,뮤지컬 ＇벤허＇,LG아트센터 서울 LG SIGNATURE 홀,"2023.09.02~
2023.11.19"
4,뮤지컬 〈멤피스〉,충무아트센터 대극장,"2023.07.20~
2023.10.22"
5,뮤지컬 〈렌트〉,coex 신한카드 artium,"2023.11.11~
2024.02.25"
6,뮤지컬 〈레미제라블〉,블루스퀘어 신한카드홀,"2023.11.30~
2024.03.10"
7,뮤지컬 〈타오르는 어둠 속에서〉,링크아트센터 페이코홀,"2023.08.26~
2023.11.26"
8,뮤지컬 드라큘라 (Dracula：The Musical),샤롯데씨어터,"2023.12.06~
2024.03.03"
9,뮤지컬 〈쇼맨_어느 독재자의 네 번째 대역배우〉,국립정동극장(서울),"2023.09.15~
2023.11.12"
10,뮤지컬 〈곤 투모로우〉,광림아트센터 BBCH홀,"2023.08.10~
2023.10.22"
11,뮤지컬 〈후크〉,대학로 아트원씨어터 2관,"2023.09.05~
2023.11.26"
12,쇼 뮤지컬 〈시스터즈 (SheStars!)〉,홍익대 대학로 아트센터 대극장,"2023.09.03~
2023.11.12"
13,뮤지컬 〈블랙메리포핀스〉,서경대학교 공연예술센터 스콘1관,"2023.09.21~
2023.12.03"
14,뮤지컬 〈판〉,대학로 TOM(티오엠) 1관,"2023.09.19~
2023.11.26"
15,뮤지컬 〈레미제라블〉 - 부산,부산 드림씨어터,"2023.10.11~
2023.11.19"
16,뮤지컬 〈셜록홈즈 : 앤더슨가의 비밀〉,두산아트센터 연강홀,"2023.09.14~
2023.11.12"
17,뮤지컬 〈프리다〉,coex 신한카드 artium,"2023.08.01~
2023.10.15"
18,뮤지컬 〈인사이드 윌리엄〉 2023,대학로 아트원씨어터 1관,"2023.09.12~
2023.12.03"
