,0,1
0,최성희,몽실(2009)
1,김다현,"루쓰(2023)
더 그레이티스트 뮤지컬 콘서트 - 용인(2022)
미세스 다웃파이어(2022)"
2,김지현,"그날들 - 대구(2023)
그날들(2023)
스위니토드(2022)"
3,박호산,"기형도 플레이(2023)
오셀로(2023)
무제의 시대(2022)"
4,윤주상,"타클라마칸(2018)
웃어요 덕구씨(2016)
2012 세계국립극장페스티벌 - 인물실록 봉달수(2012)"
5,조재현,"블랙버드(2016)
2016 여우락페스티벌 - 2 조재현 황석정 두번째달(2016)
에쿠우스(2015)"
6,이현수,"제11회 대구국제뮤지컬페스티벌 - 아름다운 슬픈 날(2017)
화려한 싱글들(2012)
순이야 사랑해(2012)"
7,송영창,"브로드웨이 42번가(2018)
모래시계(2017)
올드위키드송(2016)"
8,송승환,"더 드레서(2021)
더 드레서(2020)
뮤 하트(2019)"
9,김성녀,"심청이와 춘향이가 온다－의정부(2023)
죽음의 배 & 갈매기 - 수원(2023)
장수상회(2023)"
10,이상은,"영웅(2011)
영웅(2011)
명성황후(2011)"
11,조민아,"온에어 시즌 3(2009)
렌트(2009)
온에어(2008)"
12,김소희,"햄릿 걷는 인간(2023)
세자매 죽음의 파티(2023)
에드거 앨런 포의 불안(2022)"
13,최화정,"SBS 파워FM 20주년 콘서트 POWER 20(2016)
연극열전2 - 리타 길들이기(2008)"
14,김태훈,"14인 체홉(2017)
세일즈맨의 죽음(2016)
비극의 일인자(2016)"
15,이유린,"비뇨기과 미쓰리(2015)
싸이코(2014)
개인교수2(2014)"
16,이동수,"스페셜 라이어(2021)
라이어 1탄(2018)
라이어 1탄(2017)"
17,이항나,"갈매기(2022)
스웨트(2020)
가미카제 아리랑(2019)"
18,이성민,"스물스물 차이무 - 꼬리솜 이야기(2015)
마르고 닳도록 - 고양(2014)
거기(2012)"
19,김화영,"고목(2023)
장녀들(2023)
스카프와 나이프(2022)"
20,조민기,"산불(2011)
여름과 연기(2007)
갈매기(2007)"
21,최덕문,"기형도 플레이(2023)
곁에 있어도 혼자(2019)
14인 체홉(2017)"
22,김지성,"불(2019)
2017 서울국제공연예술제 - 위대한 놀이(2017)
타바스코(2015)"
23,이신성,"연애시대(2013)
로미오와 줄리엣(2013)
결혼(2013)"
24,유순웅,"염쟁이 유씨 - 김해(2022)
조씨고아 복수의 씨앗(2021)
염쟁이 유씨 - 평택(2020)"
25,이지현,"20세기 블루스(2023)
조씨고아 복수의 씨앗(2021)
이게 마지막이야(2020)"
26,조성지,"맨 오브 라만차(2021)
스위니토드(2019)
스위니토드(2016)"
27,권혁준,"도둑배우(2019)
라이어 1탄(2018)
라이어 1탄(2017)"
28,강신일,"광부화가들(2022)
강신일과 흔들거리며(2020)
한정림의 음악일기(2020)"
29,이승헌,"송이섬의 바람 - 제주(2019)
수업(2018)
백석우화(2017)"
30,윤석화,"햄릿(2022)
자화상(2021)
해롤드와 모드(2021)"
31,류덕환,"에쿠우스(2019)
두산인문극장 2018 이타주의자 - 낫심(2018)
에쿠우스(2015)"
32,류현경,"3일간의 비(2023)
렁스(2021)
올모스트 메인(2016)"
33,우상욱,"월명 - 경주(2020)
얼쑤 - 여수(2019)
쿵짝(2018)"
34,남권아,"갈매기(2023)
불(2019)
2017 서울국제공연예술제 - 위대한 놀이(2017)"
35,노진원,"늘근도둑 이야기 - 화성(2020)
늘근도둑 이야기 - 경주(2019)
늘근도둑 이야기(2017)"
36,윤정섭,"억척어멈과 그의 자식들(2017)
길 떠나는 가족(2017)
이 일을 어찌할꼬!(2017)"
37,고동업,"사로잡힌 꿈(2022)
아버지 - 안양(2016)
배꼽춤을 추는 허수아비(2016)"
38,백원길,"2013 명동예술극장 여름레퍼토리 - 휴먼코메디(2013)
한꺼번에 두 주인을(2012)
노이즈 오프 - 대전(2012)"
39,이호영,"셰익스피어 인 러브(2023)
더 헬멧(2022)
모토타운(2020)"
40,정경호,"화양연화(2023)
필로우맨(2022)
엄마의 레시피(2018)"
41,나경민,"우주 양자 마음(2023)
오일(2021)
산울림 고전극장 - 보들레르(2020)"
42,오동식,"씨걸(2022)
우리 동네 동선동(2021)
뤼송(2021)"
43,김경민,"우먼인블랙(2014)
우먼인블랙(2013)
부활 - 더 골든 데이즈(2012)"
44,박원상,"광부화가들(2022)
달빛요정과 소녀(2019)
스물스물 차이무 - 양덕원 이야기(2016)"
45,김수정,"부동산 오브 슈퍼맨(2023)
국산예수(2023)
2022 망각댄스 - 4.16편(2022)"
46,이도국,"스페셜 라이어(2021)
브라더 포인트(2019)
제5회 무죽 페스티벌 - 브라더 포인트(2019)"
47,정혜진,"개인의 취향(2013)
작업의 정석 2탄(2012)
작업의 정석 - 광주(2012)"
48,김늘메,"노르망디(2023)
복길잡화점 - 성남(2023)
면회(2023)"
49,하희라,"러브레터(2022)
굿바이걸(2008)
우리가 애인을 꿈꾸는 이유(2004)"
50,신문성,"심청전을 짓다(2022)
76 페스티벌 - 심청전을 짓다(2021)
이카이노의 눈(2020)"
51,박은영,"미리내 삼대 - 부천(2023)
불편한 편의점(2023)
마이 맘(2015)"
52,류태호,"멍(2020)
언더스터디(2016)
날 보러와요(2016)"
53,강태기,"눈꽃편지(2012)
이뭣꼬(2011)
그대를 사랑합니다 - 원주(2010)"
54,이상혁,"러브레터(2012)
연애시대(2011)
팻 피그(2011)"
55,최정우,"연극열전3 - 세상에서 가장 아름다운 이별(2010)
연극열전2 - 블랙버드(2008)
필로우맨(2007)"
56,홍은희,"돌아온다(2022)
멜로드라마(2014)
클로져(2008)"
57,신안진,"다크레이디X프랭클린(2023)
제11회 서울미래연극제 공식참가작 - 햄버거 먹다가 생각날 이야기(2021)
천만 개의 도시(2021)"
58,정인겸,"2015 서울연극제 - 불량청년(2015)
비극의 일인자(2013)
물탱크 정류장(2013)"
59,박광정,"부드러운 매장
서울노트(2008)
하이라이프 - 대구(2008)"
60,박시은,"연애시대(2011)
JESUS JESUS(2008)"
61,안내상,"스페셜 라이어(2017)
우리의 여자들(2016)
너와 함께라면(2012)"
62,하용부,"아름다운 계절 - 창원(2015)
오구 - 대구(2015)
어머니 - 순천(2013)"
63,정성윤,"국화꽃향기(2016)
국화꽃향기(2014)
찍힌놈들(2014)"
64,조재윤,"아트(2020)
정의의 사람들(2018)
벽을 뚫는 남자(2015)"
65,조하나,"소년대로(2023)
소년 대로(2022)
산울림 고전극장 - 체험 삶의 현장(2022)"
66,송요셉,"라이어 2탄 - 평택(2018)
라이어 1탄(2017)
라이어 1탄 - 부산(2016)"
67,이강,"이원복의 먼나라 이웃나라 클래식 콘서트(2014)
팝콘(2011)
설공찬전(2010)"
68,김미숙,"햄릿 걷는 인간(2023)
세자매 죽음의 파티(2023)
백석우화(2017)"
69,김윤태,"누란누란(2023)
디바(2022)
니 부모 얼굴이 보고싶다(2022)"
70,김대건,"언더스터디(2016)
잉여인간 이바노프(2015)
잉여인간 이바노프(2014)"
71,배수빈,"컨택트(2017)
프라이드(2017)
카포네 트릴로지(2016)"
72,김성규,"디바(2022)
골든타임(2018)
프러포즈 못하는 남자(2018)"
73,이새별,"안녕 히틀러(2016)
달아나라 편지야(2013)
훈남들의 수다(2012)"
74,선욱현,"물고기 남자(2022)
그때 변홍례(2019)
카모마일과 비빔면(2019)"
75,최귀화,"투룸쇼(2012)
오! 브라더스 - 대구 첫 공연(2010)
오! 브라더스(2010)"
76,정한별,"나의 노래 - 과천(2018)
2018 춘천연극제 - 바람이 불어오는 곳(2018)
바람이 불어오는 곳 - 울산(2016)"
77,문예주,"스카팽(2022)
금조 이야기(2022)
로드킬 인 더 씨어터(2021)"
78,차희,"콤플렉스(2023)
니 부모 얼굴이 보고싶다(2022)
물의 정거장(2021)"
79,박준혁,"캐미스트리 래버토리(2018)
결혼전야 - 경기 광주(2018)
칸사이 주먹(2018)"
80,김홍근,"윤대성 X 윤대성(2019)
궁전의 여인들(2019)
궁전의 여인들(2018)"
81,김명수,"만선(2023)
레 미제라블 - 고양(2022)
레 미제라블(2022)"
82,김준삼,"의자고치는 여인(2020)
제40회 서울연극제 공식선정작 - 벤트(2019)
이혈(2018)"
83,이윤지,"언더스터디(2021)
3일간의 비(2017)
클로저(2013)"
84,김인경,"제39회 대한민국연극제 안동 - 알을 깨고 나온 새는 무엇으로 나는가(2021)
제30회 대전연극제 - 알을 깨고 나온 새는 무엇으로 나는가(2021)
알을 깨고 나온 새는 무엇으로 나는가 - 대전(2020)"
85,황승현,"달래이야기(2017)
다시 한 달을 가서 설산을 넘으면(2013)
더 프라이스(2012)"
86,김지희,"맥베스 - 수원(2023)
죽음의 배 & 갈매기 - 수원(2023)
죽음들 - 수원(2023)"
87,박경구,"그로토프스키 트레이닝(2023)
해피투게더(2022)
광장 너머(2022)"
