,연극 이름,공연장,기간
0,연극 너의 목소리가 들려,도토리씨어터,"2023.04.03~
2023.10.31"
1,대학로 1위 연극 〈쉬어매드니스〉,콘텐츠박스(KONTENTZ BOX),"2015.11.12~
2023.10.31"
2,행오버,정극장,"2023.05.01~
2023.10.31"
3,연극 〈바닷마을 다이어리〉,예술의전당 자유소극장,"2023.10.08~
2023.11.19"
4,연극 한뼘사이,라온아트홀,"2017.03.01~
2023.10.31"
5,연극〈늘근도둑이야기〉,대학로 아트포레스트 1관,"2022.03.05~
2023.10.31"
6,뮤직드라마 〈불편한 편의점〉,대학로 스타시티 7층 후암씨어터,"2023.04.08~
2023.12.31"
7,코믹감동 휴먼판타지 연극 〈2호선 세입자〉,대학로 바탕골 소극장,"2022.01.14~
2023.10.31"
8,10년 연속 1위 연극〈옥탑방고양이〉- 틴틴홀,대학로 틴틴홀,"2010.04.06~
2023.10.31"
9,좀비연극 오마이갓,대학로 오마이갓 전용관,"2023.04.11~
2023.10.31"
10,연극 핫식스,도토리씨어터,"2023.04.03~
2023.10.31"
11,［서울 대학로］연극 라면,대학로 해피씨어터,"2021.01.16~
2023.10.31"
12,연극 〈기형도 플레이〉,대학로 아트원씨어터 3관,"2023.10.19~
2023.10.29"
13,연극 죽여주는 이야기,지인시어터(구.알과핵소극장),"2023.07.01~
2023.10.31"
14,2023 연극 〈친정엄마와 2박 3일〉 - 고양,고양아람누리 아람극장,"2023.10.14~
2023.10.15"
15,연극 〈카페 쥬에네스〉,대학로 TOM(티오엠) 2관,"2023.09.25~
2023.11.26"
16,4D공포연극 〈스위치〉,아스가르드 씨어터,"2022.02.11~
2023.10.31"
17,연극 〈운빨로맨스〉- 대학로,컬쳐씨어터,"2021.05.01~
2023.10.31"
18,연극 〈수상한흥신소〉,소극장 선물 1관,"2023.06.28~
2023.10.31"
19,국민 코믹 연극 〈오백에삼십〉 - 대학로 세우아트센터 1관,대학로 세우아트센터 1관,"2022.03.01~
2023.10.31"
20,［2023 SPAF］ 극단 돌파구 〈지상의 여자들〉,국립정동극장_세실(서울),"2023.10.07~
2023.10.12"
21,연극 〈뷰티풀라이프〉,JTN 아트홀 4관,"2018.02.20~
2023.10.31"
22,러브 앤 인포메이션,두산아트센터 Space111,"2023.10.17~
2023.11.04"
23,2023 연극 〈친정엄마와 2박 3일〉 - 군포,군포문화예술회관 수리홀,"2023.10.21~
2023.10.22"
24,★평점9.5★ 코미디의맛/쇼미더퍼니,홍대 윤형빈소극장,"2023.09.05~
2023.11.05"
25,진짜나쁜소녀,JTN 아트홀 1관,"2023.05.02~
2023.10.31"
26,2023년 연극 〈친정엄마와 2박3일 - 김해〉,김해문화의전당 마루홀,"2023.10.27~
2023.10.28"
27,코미디 연극〈딜리버리〉,아티스탄홀,"2023.03.10~
2023.10.31"
28,이머시브씨어터 카지노,대학로 스타시티 카지노 전용관,"2023.04.28~
2023.10.29"
29,2시간탈출 졸탄쇼,졸탄 극장,"2021.07.04~
2023.10.31"
30,연극 〈굿닥터〉,세종문화회관 S씨어터,"2023.10.06~
2023.11.12"
31,괴물B,서강대 메리홀 대극장,"2023.10.07~
2023.10.15"
32,연극 〈극적인 하룻밤〉,"JS아트홀(구,고스트씨어터)","2023.07.26~
2023.10.31"
33,2023년 연극 〈친정엄마와 2박3일〉 - 용인,용인포은아트홀,"2023.11.17~
2023.11.18"
34,연극 〈나의PS파트너〉,대학로 아트포레스트 2관,"2023.03.03~
2023.10.30"
35,"제6회 1번출구 연극제 〈월드다방〉, 〈#정답을작성해주세요〉, 〈순례네 국밥〉",한성아트홀 2관,"2023.09.20~
2023.10.29"
36,메이드 인 제인,CJ아지트 대학로,"2023.10.08~
2023.11.12"
37,공포연극 ［자취］,댕로홀,"2020.02.28~
2023.10.31"
38,연극 〈행오버〉 - 대구,송죽씨어터,"2023.08.24~
2023.10.09"
39,공포연극 조각,댕로홀,"2022.07.01~
2023.10.31"
40,!로맨틱코미디 연극〈운빨로맨스〉! - 대구,아트플러스씨어터,"2023.09.01~
2023.10.29"
41,(리얼타임 코믹연극) 택시안에서 - 부산,부산 해바라기 소극장,"2019.03.01~
2024.01.01"
42,(리얼타임 코믹연극) 택시안에서 - 서울,해바라기 소극장,"2018.10.12~
2023.10.31"
43,(코믹연극) 달동네-부산,초콜릿팩토리,"2022.04.28~
2024.01.01"
44,［2023 SPAF］ 거인아트랩 〈인.투〉,"종로 삼일대로, 인사동 일대","2023.10.19~
2023.10.20"
45,［2023 SPAF］ 구자하/캄포 〈하마티아 3부작: 롤링 앤 롤링〉,대학로예술극장 대극장,"2023.10.14~
2023.10.15"
46,［2023 SPAF］ 구자하/캄포 〈하마티아 3부작: 쿠쿠〉,대학로예술극장 대극장,"2023.10.12~
2023.10.15"
47,［2023 SPAF］ 구자하/캄포 〈하마티아 3부작: 한국 연극의 역사〉,대학로예술극장 대극장,"2023.10.13~
2023.10.14"
48,［2023 SPAF］ 극단 골목길 〈이장〉,국립정동극장_세실(서울),"2023.10.26~
2023.10.29"
49,［2023 SPAF］ 데드센터 〈베케트의 방〉,아르코예술극장 대극장,"2023.10.27~
2023.10.29"
50,［2023 SPAF］ 연극연습 프로젝트 〈연극연습3. 극작 연습-물고기로 죽기〉,국립정동극장_세실(서울),"2023.10.20~
2023.10.22"
51,"［2023 SPAF］ 작당모의 〈싸움의 기술, 〈졸〉_2.0〉",여행자 극장,"2023.10.12~
2023.10.15"
52,［2023 SPAF］ 지연X전환 〈에너지_보이지 않는 언어〉,아르코예술극장 소극장,"2023.10.28~
2023.10.29"
53,［2023 SPAF］ 파이브 아트 센터 〈노셔널 히스토리〉,아르코예술극장 소극장,"2023.10.12~
2023.10.15"
54,［2023 SPAF］ SPAF 연극 패키지,해당공연 공연장－서울,"2023.10.12~
2023.10.29"
55,［2023 SPAF］ SPAF 하마티아 3부작 패키지,해당공연 공연장－서울,"2023.10.12~
2023.10.15"
56,［2023_셀러브리티 명품 로코］ 연극 이프온리 크리스마스특별 공연 - 울산,울산 J아트홀,"2023.12.23~
2023.12.25"
57,［2023_셀러브리티 명품 로코］ 연극 이프온리 크리스마스특별 공연 _ 전주,덕진예술회관,"2023.12.23~
2023.12.25"
58,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 고양,고양아람누리 새라새극장,"2023.12.22~
2023.12.24"
59,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 광주,국립아시아문화전당 문화정보원 극장3(B3층),"2023.12.23~
2023.12.25"
60,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 대구,대구보건대 인당아트홀,"2023.12.23~
2023.12.25"
61,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 대전,대덕구청소년어울림센터,"2023.12.22~
2023.12.24"
62,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 대학로,피카소 소극장,"2023.11.03~
2023.12.31"
63,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 인천,인천 트라이보울,"2023.12.23~
2023.12.24"
64,［2023’셀러브리티 로코연극］러브액츄얼리 첫번째사연_크리스마스 특별공연 - 부산,부산메트로홀,"2023.10.20~
2023.12.31"
